combo,k,dates,picks,edge,win,p
in_fvg + q_lowvol + calm_vix,3,36,10.527777777777779,-0.9355150537097743,38.88888888888889,0.129
q_lowvol + market_up,2,93,115.0,-0.9381759506380918,41.935483870967744,0.007
q_lowvol + q_stable + market_up,3,93,78.81720430107526,-0.9541971816913679,47.31182795698925,0.008
q_lowvol + q_uptrend + market_up,3,93,96.24731182795699,-0.9697657292005267,45.16129032258064,0.012
at_support + q_lowvol + mom_bot30,3,91,16.307692307692307,-0.9788921662242437,36.26373626373626,0.027
at_support + q_stable + mom_bot30,3,34,8.117647058823529,-0.9790993064599703,50.0,0.27
q_lowvol + scared_vix,2,54,115.0,-0.9932726453896324,46.2962962962963,0.044
q_lowvol + mom_top30 + far_fomc,3,89,31.235955056179776,-1.018039663653323,48.31460674157304,0.011
q_lowvol + q_stable + scared_vix,3,54,81.33333333333333,-1.0269169992642289,51.85185185185185,0.062
q_lowvol + mom_top30 + scared_vix,3,53,35.9811320754717,-1.045963353986215,49.056603773584904,0.088
q_lowvol + q_stable + mom_top30,3,102,30.901960784313726,-1.0659600758216157,47.05882352941176,0.009
q_lowvol + mom_top30,2,102,32.26470588235294,-1.076809930620907,46.07843137254902,0.006
q_lowvol + q_uptrend + scared_vix,3,54,82.42592592592592,-1.083926440783203,48.148148148148145,0.046
q_lowvol + q_uptrend + mom_top30,3,102,31.558823529411764,-1.1110206459277863,44.11764705882353,0.0
q_lowvol + scared_vix + market_up,3,42,115.0,-1.117446083813365,45.23809523809524,0.068
q_lowvol + mom_bot30 + calm_vix,3,50,28.42,-1.1362239516023849,30.0,0.022
q_lowvol + mom_top30 + calm_vix,3,49,28.244897959183675,-1.148414033114206,40.816326530612244,0.016
q_lowvol + mom_top30 + market_up,3,90,29.92222222222222,-1.1710765616337449,43.333333333333336,0.002
q_lowvol + mom_bot30 + far_fomc,3,87,26.770114942528735,-1.1757810974876994,34.48275862068966,0.004
q_lowvol + mom_bot30,2,100,26.56,-1.209652423856997,34.0,0.0
q_lowvol + mom_bot30 + scared_vix,3,50,24.7,-1.2491318116028785,40.0,0.035
q_lowvol + mom_bot30 + market_up,3,90,27.988888888888887,-1.265178195461664,33.33333333333333,0.003
q_lowvol + q_uptrend + mom_bot30,3,59,19.440677966101696,-1.6149019256816617,25.423728813559322,0.024
q_lowvol + q_stable + mom_bot30,3,49,10.63265306122449,-1.6208775124136745,38.775510204081634,0.028
