signal,top_n,trend_filter,vol_screen,regime,weight,dates,sel,ctrl,edge,win,worst,p
mom126,10,above200,,,invvol,105,6.490066167731482,4.236315033867098,2.2537511338643834,63.8095238095238,-15.02684379839655,
mom189,10,above200,,spy_up,invvol,93,5.881118863405361,3.634754009647757,2.2463648537576053,62.365591397849464,-14.723034833830114,
mom189,10,,,spy_up,invvol,93,5.867557229453029,3.634754009647757,2.2328032198052723,62.365591397849464,-14.723034833830114,
mom126,10,above50,,spy_up,invvol,93,5.8472410195286555,3.634754009647757,2.212487009880898,66.66666666666666,-13.29237086509586,
mom189,10,above50,,,equal,105,6.422500146417606,4.236315033867098,2.186185112550509,60.0,-9.993039880877898,
mom63,10,above200,,spy_up,invvol,93,5.80877451273851,3.634754009647757,2.1740205030907527,62.365591397849464,-13.67206419795505,
mom126_s21,10,above50,,spy_up,invvol,93,5.756076580178235,3.634754009647757,2.1213225705304795,63.44086021505376,-16.130264919797465,
mom126,10,above50,,,invvol,105,6.315898931274544,4.236315033867098,2.079583897407446,64.76190476190476,-13.29237086509586,
mom252_s21,10,,,,equal,105,6.276749410114488,4.236315033867098,2.040434376247389,62.857142857142854,-16.84598094508405,
mom189,10,,,,invvol,105,6.261966466517318,4.236315033867098,2.025651432650221,59.04761904761905,-14.723034833830114,
mom252,10,,,spy_up,equal,93,5.656579707008137,3.634754009647757,2.021825697360379,60.215053763440864,-16.025725655377375,
mom252,10,above200,,spy_up,equal,93,5.647135377986208,3.634754009647757,2.012381368338451,61.29032258064516,-16.025725655377375,
mom126,20,,,spy_up,equal,93,5.628927632012418,3.625500421375437,2.0034272106369806,67.74193548387096,-11.670281098037618,
mom63,10,,,spy_up,invvol,93,5.6234148688301895,3.634754009647757,1.9886608591824322,62.365591397849464,-13.67206419795505,
mom189,10,above200,,,invvol,105,6.2227273009584145,4.236315033867098,1.9864122670913171,58.0952380952381,-14.723034833830114,
mom63,10,above50,,spy_up,invvol,93,5.596502625994152,3.634754009647757,1.9617486163463946,64.51612903225806,-13.67206419795505,
mom126,20,above200,,spy_up,equal,93,5.583588022382082,3.625500421375437,1.9580876010066428,66.66666666666666,-11.670281098037618,
mom252,10,,,,equal,105,6.180201991112684,4.236315033867098,1.9438869572455861,60.952380952380956,-16.025725655377375,
mom63,10,above200,,,invvol,105,6.1716147220839765,4.236315033867098,1.9352996882168805,60.0,-13.67206419795505,
mom126_s21,10,above50,,,invvol,105,6.156593315323127,4.236315033867098,1.9202782814560295,60.952380952380956,-16.130264919797465,
mom252,10,above200,,,equal,105,6.153554883889502,4.236315033867098,1.917239850022404,61.904761904761905,-16.025725655377375,
mom252_s21,10,,,spy_up,equal,93,5.551460518389164,3.634754009647757,1.9167065087414072,63.44086021505376,-16.84598094508405,
mom63,20,above200,,spy_up,equal,93,5.542026389839914,3.625500421375437,1.9165259684644769,68.81720430107528,-8.21923475402222,
mom252_s21,10,above200,,spy_up,equal,93,5.511357988585816,3.634754009647757,1.8766039789380593,62.365591397849464,-16.84598094508405,
mom63,20,,,spy_up,equal,93,5.4716859157624445,3.625500421375437,1.8461854943870066,68.81720430107528,-8.21923475402222,
mom252_s21,10,above200,,,equal,105,6.066982601698573,4.236315033867098,1.8306675678314757,61.904761904761905,-16.84598094508405,
mom126,20,,,,equal,105,6.034584564949679,4.224185323906812,1.8103992410428662,65.71428571428571,-11.670281098037618,
mom63,10,,,,invvol,105,6.028138140595975,4.236315033867098,1.7918231067288781,61.904761904761905,-13.67206419795505,
mom126_s21,20,,,spy_up,equal,93,5.4076242501106995,3.625500421375437,1.782123828735262,65.59139784946237,-15.543485468447077,
mom126,20,above200,,,equal,105,5.989661554640022,4.224185323906812,1.7654762307332088,65.71428571428571,-11.670281098037618,
mom189,20,above200,,spy_up,equal,93,5.377625452612152,3.625500421375437,1.752125031236714,62.365591397849464,-13.90241383729286,
mom189,20,,,spy_up,equal,93,5.354871260631644,3.625500421375437,1.7293708392562062,62.365591397849464,-13.90241383729286,
mom63,10,above50,,,invvol,105,5.92722796471132,4.236315033867098,1.6909129308442226,61.904761904761905,-13.67206419795505,
mom126,20,above50,,spy_up,equal,93,5.313959096364827,3.625500421375437,1.688458674989389,62.365591397849464,-11.16374427701008,
mom126_s21,20,above200,,spy_up,equal,93,5.310550316916459,3.625500421375437,1.685049895541023,64.51612903225806,-15.543485468447077,
mom63,20,above200,,,equal,105,5.903979553628853,4.224185323906812,1.6797942297220407,65.71428571428571,-8.21923475402222,
